Lat,Long,Confirmed,Deaths,Recovered,cluster
47.4116,28.3699,4605,145,1747,2
27.5142,90.4336,0,0,0,2
28.0339,1.6596,10589,741,7255,2
-32.5228,-55.7658,848,23,788,2
-32.5228,-55.7658,0,0,0,2
26.0789,117.9874,294,1,218,2
39.3054,117.323,191,3,186,2
-40.9006,174.886,20,0,0,2
33.223191,43.679291,22700,712,9862,2
-22.3285,24.6849,0,0,0,2
-29.61,28.2336,27,0,4,2
30.0572,107.874,579,6,573,2
26.3351,17.228331,209,5,52,2
35.1917,108.8701,308,3,300,2
61.92411,25.748151,6,0,1,2
31.6927,88.0924,1,0,1,2
18.7357,-70.1627,0,0,0,2
14.4974,-14.4524,7400,133,4870,2
9.145,40.4897,29,0,2,2
49.3723,-2.3644,0,0,0,2
35.7518,104.2861,90,2,39,2
32.427908,53.68804599999999,0,0,0,2
34.802075,38.99681500000001,0,0,0,2
71.7069,-42.6043,13,0,13,2
53.7098,27.9534,16705,99,3196,2
43.7333,7.4167,94,4,42,2
51.9194,19.1451,0,0,0,2
-35.4735,149.0124,113,3,109,2
18.2206,-63.0686,3,0,1,2
43.6661,126.1923,155,2,153,2
-35.6751,-71.543,13,0,0,2
-12.4634,130.8456,0,0,0,2
55.1694,23.8813,274,4,1,2
-13.133897,27.849332,1358,11,1122,2
61.92411,25.748151,5412,246,3500,2
36.3427,118.1498,775,7,753,2
12.2383,-1.5616,0,0,0,2
71.7069,-42.6043,13,0,13,2
46.8852,-56.3159,1,0,0,2
-1.9403,29.8739,1378,4,710,2
17.607789,8.081666,1099,68,992,2
23.6345,-102.5528,378285,42645,283382,1
17.607789,8.081666,1100,69,993,2
53.1355,-57.6604,0,0,0,2
5.152149,46.199616,2579,87,559,2
39.0742,21.8243,3511,192,1374,2
15.415,-61.371,11,0,0,2
4.5353,114.7277,0,0,0,2
56.8796,24.6032,533,1,1,2
17.357822,-62.782998,15,0,15,2
1.2833,103.8333,13624,12,1060,2
-29.61,28.2336,419,9,69,2
18.0425,-63.0548,0,0,0,2
31.9522,35.2332,261,1,42,2
32.3078,-64.7505,146,9,137,2
20.593684,78.96288,3,0,0,2
31.046051,34.851612,0,0,0,2
51.165691,10.451526,172576,7661,145617,1
12.1165,-61.679,23,0,23,2
-26.5225,31.4659,0,0,0,2
-6.314993,143.95555,8,0,8,2
12.5211,-69.9683,0,0,0,2
3.9193,-56.0278,10,1,4,2
7.9465,-1.0232,1042,9,99,2
17.570692,-3.996166000000001,56,5,12,2
-1.9403,29.8739,225,0,98,2
4.5709,-74.2973,491,6,8,2
16.742498,-62.187366,11,1,10,2
16.742498,-62.187366,11,1,10,2
12.5211,-69.9683,0,0,0,2
5.152149,46.199616,2997,92,1014,2
48.3794,31.1656,48628,1243,21907,2
37.2692,106.1655,75,0,75,2
24.974,101.487,185,2,183,2
-17.6797,149.4068,60,0,60,2
35.1917,108.8701,306,3,254,2
39.0742,21.8243,1735,73,78,2
41.1533,20.1683,0,0,0,2
9.9456,-9.6966,0,0,0,2
46.8625,103.8467,220,0,177,2
36.204824,138.252924,17963,967,16101,2
42.708678000000006,19.37439,1287,24,330,2
44.682,-63.7443,721,9,0,2
18.7357,-70.1627,13989,456,7572,2
12.1165,-61.679,0,0,0,2
26.8154,106.8748,147,2,145,2
-20.904305,165.618042,21,0,21,2
60.128161,18.643501,27909,3460,0,2
26.3351,17.228331,467,10,70,2
40.1431,47.5769,1617,21,1080,2
-0.228,15.8277,117,5,11,2
8.538,-80.7821,40291,799,18726,2
51.165691,10.451526,16,0,12,2
-4.0383,21.7587,0,0,0,2
26.8154,106.8748,127,1,17,2
-8.874217,125.727539,24,0,0,2
13.9094,-60.9789,23,0,19,2
26.0789,117.9874,364,1,361,2
-20.904305,165.618042,0,0,0,2
18.1096,-77.2975,223,6,27,2
-0.7893,113.9213,72347,3469,33529,2
-0.0236,37.9062,17975,285,7833,2
49.8153,6.1296,140,1,0,2
50.8333,4.469936,49517,7765,12211,2
-6.314993,143.95555,8,0,8,2
3.9339,-53.1258,133,1,100,2
41.377491,64.585262,0,0,0,2
54.2361,-4.5481,307,9,209,2
39.3054,117.323,184,3,164,2
17.9,-62.8333,6,0,6,2
47.862,127.7615,661,13,470,2
-0.8037,11.6094,6588,47,4235,2
22.1667,113.55,46,0,45,2
18.4207,-64.64,8,1,7,2
-27.4698,153.0251,1067,6,1054,2
32.3078,-64.7505,0,0,0,2
23.3417,113.4244,1159,1,167,2
23.3417,113.4244,1641,8,1627,2
39.3999,-8.2245,13141,380,196,2
9.082,8.6753,5450,171,1320,2
45.9432,24.9668,25,0,3,2
27.5142,90.4336,4,0,0,2
